,Sentence,label,transliterated
5992,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Not_offensive,{'kn': 'ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ'}
5993,Yake jana ogtila andre bec of telegram app bec yala movie galu 1 week ge sigtide yalrugu phone ale nodtidare.tuu itara ole cinimas na yaru ogi nodtilwala anode bejaruu.ban the telegram appnPlzz,Offensive_Targeted_Insult_Other,{'kn': 'ಯಾಕೆ ಜನ ಒಗ್ತಿಲ ಆಂಡ್ರೆ ಬೇಕ್ ಅಫ್ ತೆಲೆಗ್ರಾಂ ಅಪ್ಪಿ ಬೇಕ್ ಯಾಲಾ ಮೂವಿ ಗಳು 1 ವೆಕ್ ಗೆ ಸಿಗ್ತಿದೆ ಯಾಲ್ರುಗು ಫೋನ್ ಅಲೆ ನೋಡ್ಟಿದರೆ.ಟೂ ಇತರ ಒಲೆ ಸಿನಿಮಾಸ್ ನಾ ಯಾರು ಓಗಿ ನೊಡ್ತಿಲ್ಲಾಳ ಅನೋದೆ ಬೇಜರೂ.ಬ್ಯಾನ್ ದ ತೆಲೆಗ್ರಾಂ ಅಪಂಪ್ಲಿಜ್'}
5994,ನೀನು ಹೇಳಿದ್ದೆಲ್ಲ ಕೇಳಿ ನನಗೆ ಅನಿನಿಸಿದ್ದು ನಮ್ಮ ದೇಶಾನ ಕಮ್ಮುನಿಸ್ಟ್ ದೇಶ ಮಾಡಬೇಕು ಅಂತ,Not_offensive,{'kn': 'ನೀನು ಹೇಳಿದ್ದೆಲ್ಲ ಕೇಳಿ ನನಗೆ ಅನಿನಿಸಿದ್ದು ನಮ್ಮ ದೇಶಾನ ಕಮ್ಮುನಿಸ್ಟ್ ದೇಶ ಮಾಡಬೇಕು ಅಂತ'}
5995,ಕಳಪೆ ವಸ್ತುಗಳ್ನು ಉತ್ಪದಾನೆ ಮಾಡಿ ಬೇರೆಯವರ ಹೊಟ್ಟೆಮೇಲೆ ಒಡಿಯೋದು ತಪ್ಪಲ್ವ,Offensive_Untargetede,{'kn': 'ಕಳಪೆ ವಸ್ತುಗಳ್ನು ಉತ್ಪದಾನೆ ಮಾಡಿ ಬೇರೆಯವರ ಹೊಟ್ಟೆಮೇಲೆ ಒಡಿಯೋದು ತಪ್ಪಲ್ವ'}
5996,Vp sir super singing,not-Kannada,{'kn': 'ವಿಪಿಪಿ ಸಾರ್ ಸೂಪರ್ ಸಿಂಗಿಂಗ್'}
5997,I like you guru,Not_offensive,{'kn': 'ಈ ಲೈಕ್ ಯುಎ ಗುರು'}
5998,@Avatar 123 but you support corupt political democracy,not-Kannada,{'kn': '@ಅವತಾರ್ 123 ಬೂತ್ ಯುಎ ಸುಪ್ಪೋರ್ಟ್ ಕಾರಸ್ಟ್ ಪೊಲಿಟಿಕಲ್ ಡೆಮಾಕ್ರಸಿ'}
5999,Yad Ustad Ali comedy,not-Kannada,{'kn': 'ಯಾಡ್ ಉಸ್ತಾದ್ ಆಲಿ ಕಾಮೆಡಿ'}
6000,@Nandi Parthasarathi ನಿ ಸೂಳೆ,Offensive_Targeted_Insult_Individual,{'kn': '@ನಂದಿ ಪರ್ಥಸರಾತಿ ನಿ ಸೂಳೆ'}
6001,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Not_offensive,{'kn': 'ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ'}
6002,@Ajaya shetty no no pailwan 2000 days in mars,not-Kannada,{'kn': '@ಅಜಯ ಶೆಟ್ಟಿ ನೋ ನೋ ಪೈಲ್ವಾನ್ 2000 ಡೇಸ್ ಇನ್ ಮಾರ್ಸ್'}
6003,ಸೂಪರ್ ತೊಗರಿ ತಿಪ್ಪ,Not_offensive,{'kn': 'ಸೂಪರ್ ತೊಗರಿ ತಿಪ್ಪ'}
6004,ಸು0ದರವಾದ ಬದುಕು ನಿಮ್ಮಿoದ ಕಲಿಬೇಕು 🤷‍,Not_offensive,{'kn': 'ಸು0ದರವಾದ ಬದುಕು ನಿಮ್ಮಿಓದ ಕಲಿಬೇಕು 🤷\u200d'}
6005,12pm start madi 5pm complete madde,Not_offensive,{'kn': '12ಪಿಎಂ ಸ್ಟಾರ್ಟ್ ಮಾಡಿ 5ಪಿಎಂ ಕಂಪ್ಲೇಟ್ ಮದ್ದೆ'}
6006,ಗುರು ಅವರಿಗೆ ತಾಕತ್ತಿದ್ದರೆ ಯೂಟ್ಯೂಬ್ ಅರಸ್ ಆಗೋಕೆ ಹೇಳು 10 15 20 ಸೆಕೆಂಡ್ ಮಾಡೋ ಟಿಕ್ ಟಾಕ್ ಸಡೆಗಲಿಗೆ ಯೂಟ್ಯೂಬಲ್ಲಿ ಎಂಟು ಹತ್ತು ಇಪ್ಪತ್ತು ನಿಮಿಷ ವಿಡಿಯೋ ಮಾಡೋಕೆ ತಾಕತ್ತಿದೆಯಾ ಕೇಳು nnLove u ರೋಸ್ಟ್ team ಅಂಡ್ ಟ್ರೋಲ್ team,Offensive_Targeted_Insult_Group,{'kn': 'ಗುರು ಅವರಿಗೆ ತಾಕತ್ತಿದ್ದರೆ ಯೂಟ್ಯೂಬ್ ಅರಸ್ ಆಗೋಕೆ ಹೇಳು 10 15 20 ಸೆಕೆಂಡ್ ಮಾಡೋ ಟಿಕ್ ಟಾಕ್ ಸಡೆಗಲಿಗೆ ಯೂಟ್ಯೂಬಲ್ಲಿ ಎಂಟು ಹತ್ತು ಇಪ್ಪತ್ತು ನಿಮಿಷ ವಿಡಿಯೋ ಮಾಡೋಕೆ ತಾಕತ್ತಿದೆಯಾ ಕೇಳು ನ್ಲ್ಯೋವ್ ಊ ರೋಸ್ಟ್ ಟೀಮ್ ಅಂಡ್ ಟ್ರೋಲ್ ಟೀಮ್'}
6007,supper guruve liricys,Not_offensive,{'kn': 'ಸುಪ್ಪರ್ ಗುರುವೆ ಲಿರಿಸಿಸ್'}
6008,ಕನ್ನಡ ಇಂಡಸ್ಟ್ರಿಯಲನಲ್ಲಿ ರಕ್ಷಿತ ಶೆಟ್ಟಿ ಅಂದ್ರೆ ಅಮೀರ ಖಾನ್ ಇದ್ದಂಗೆ,not-Kannada,{'kn': 'ಕನ್ನಡ ಇಂಡಸ್ಟ್ರಿಯಲನಲ್ಲಿ ರಕ್ಷಿತ ಶೆಟ್ಟಿ ಅಂದ್ರೆ ಅಮೀರ ಖಾನ್ ಇದ್ದಂಗೆ'}
6009,ನಮ್ಮ ದೇಶದಲ್ಲಿ ದೊಡ್ಡದಾದ ಬಂಡವಾಳಗಳನ್ನ ಹೂಡಿ ಬಿಜಿನೆಸ್ ಮಾಡಿ ಲಾಭ ಮಾಡಬೇಕುನ್ನುವವರು ಬಹಳಾ ಜನ ಇದಾರೆ ಲಾಭ ಹೆಚ್ಟಾದಷ್ಟು .ಸರ್ಕಾರ ಇನ್ಕಮ್ ಇಡಿ ಅಂತ ತೊಂದರೆಗೊಳಗಾಗುವ ಸಾಧ್ಯತೆಯಿರುತ್ತದೆಂದು ಮುಂದೆ ಬರುವುದಿಲ್ಲ,Not_offensive,{'kn': 'ನಮ್ಮ ದೇಶದಲ್ಲಿ ದೊಡ್ಡದಾದ ಬಂಡವಾಳಗಳನ್ನ ಹೂಡಿ ಬಿಜಿನೆಸ್ ಮಾಡಿ ಲಾಭ ಮಾಡಬೇಕುನ್ನುವವರು ಬಹಳಾ ಜನ ಇದಾರೆ ಲಾಭ ಹೆಚ್ಟಾದಷ್ಟು .ಸರ್ಕಾರ ಇನ್ಕಮ್ ಇಡಿ ಅಂತ ತೊಂದರೆಗೊಳಗಾಗುವ ಸಾಧ್ಯತೆಯಿರುತ್ತದೆಂದು ಮುಂದೆ ಬರುವುದಿಲ್ಲ'}
6010,OLA marma? leay thu OLA na promote maadoke isht dodd message haktyeno? D boooos fans na nodi kalthko.....avrella huttidaagle amman akkan antha pure kannada words kalthu bandirodu......,Not_offensive,{'kn': 'ಓಲಾ ಮರ್ಮಾ? ಲೇ ಥೂ ಓಲಾ ನಾ ಪ್ರೋಮೋಟ್ ಮಾಡೋಕೆ ಎಷ್ಟ್ ಡೊಡ್ ಮೆಸ್ಸೇಜ್ ಹಕ್ತಿನೋ? ಡ್ ಬೋಸ್ ಫ್ಯಾನ್ಸ್ ನಾ ನೋಡಿ ಕಲ್ತ್ಕೊ.....ಅವರೆಲ್ಲ ಹುಟ್ಟಿದಾಗಲೇ ಅಮ್ಮನ್ ಅಕ್ಕನ್ ಅಂಥ ಪುರೆ ಕನ್ನಡ ವರ್ಡ್ಸ್ ಕಲ್ತು ಬಂದಿರೊದು......'}
6011,E story kelidre yent dukha kuda maribahudu very nice story,Not_offensive,{'kn': 'ಏ ಸ್ಟೋರಿ ಕೇಳಿದ್ರೆ ಏಂಟ್ ದುಃಖ ಕೂಡಾ ಮರಿಬಹುದು ವೆರಿ ನೀಸ್ ಸ್ಟೋರಿ'}
6012,This year watch ondu shikariya kathe,not-Kannada,{'kn': 'ದಿಸ್ ಯೇರ್ ವಾಚ್ ಒಂದು ಶಿಕರಿಯ ಕತೆ'}
6013,Varshakke 3 thagadu movie madi industry haal mado hero galu ondh kade adrenn3 Varsha kasta pattu ondhu olle film mado namma Rakshith Shetty haagu Yash innondh kade n,Offensive_Targeted_Insult_Group,{'kn': 'ವರ್ಷಕ್ಕೆ 3 ತಗಡು ಮೂವಿ ಮಾಡಿ ಇಂಡಸ್ಟ್ರಿ ಹಾಲ್ ಮಾಡೋ ಹೀರೋ ಗಳು ಒಂದ್ ಕಡೆ ಅಡ್ರೆನ್3 ವರ್ಷಾ ಕಷ್ಟ ಪಟ್ಟು ಒಂದು ಒಳ್ಳೆ ಫಿಲ್ಮ್ ಮಾಡೋ ನಮ್ಮ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಹಾಗೂ ಯಶ್ ಇನ್ನೊಂದ ಕಡೆ ನ್'}
6014,ಸರ್ bigg boss house ಗೆ ಹೋಗಿ ನೀವೇ ಗೆಲ್ತಿರಾ 🥺,Not_offensive,{'kn': 'ಸರ್ ಬಿಗ್ ಬಾಸ್ ಹೌಸ್ ಗೆ ಹೋಗಿ ನೀವೇ ಗೆಲ್ತಿರಾ 🥺'}
6015,Guru....I love you ....sakkathagi...hugithiya...maga...,Not_offensive,{'kn': 'ಗುರು....ಈ ಲವ್ ಯುಎ ....ಸಕ್ಕತಾಗಿ...ಹು...ಮಗ...'}
6016,Best song  sooper,not-Kannada,{'kn': 'ಬೆಸ್ಟ್ ಸಾಂಗ್ ಸೂಪರ್'}
6017,Bro super bro allarigu artha agothara  alidira,Not_offensive,{'kn': 'ಬ್ರೋ ಸೂಪರ್ ಬ್ರೋ ಅಲ್ಲರಿಗೂ ಅರ್ಥ ಅಗೋತರ ಅಳಿದಿರ'}
6018,@Deekshit Chandra ನಾವು ಉಡುಪಿ ಕಡೆಯವರೇ,Not_offensive,{'kn': '@ದೀಕ್ಷಿತ್ ಚಂದ್ರ ನಾವು ಉಡುಪಿ ಕಡೆಯವರೇ'}
6019,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Not_offensive,{'kn': 'ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ'}
6020,Jai D BOSS  love you darshan,not-Kannada,{'kn': 'ಜೈ ಡ್ ಬಾಸ್ ಲವ್ ಯುಎ ದರ್ಶನ್'}
6021,ನೀವು ಹೇಳಿದ ಕಥೆ ಚನ್ನಾಗಿಯೇ ಇದೆ ಆದ್ರೆ ಅಶ್ವತ್ತಾಮ ಬದುಕಿರೋದು ಸುಳ್ಳು,Offensive_Targeted_Insult_Group,{'kn': 'ನೀವು ಹೇಳಿದ ಕಥೆ ಚನ್ನಾಗಿಯೇ ಇದೆ ಆದ್ರೆ ಅಶ್ವತ್ತಾಮ ಬದುಕಿರೋದು ಸುಳ್ಳು'}
6022,Hemme aagutte sir. Neevu nijakku great,Not_offensive,{'kn': 'ಹೆಮ್ಮೆ ಆಗುತ್ತೆ ಸಾರ್. ನೀವು ನಿಜಕ್ಕೂ ಗ್ರೇಟ್'}
6023,ಸಾಹಿತ್ಯನ ಬರೆದಿದ್ದಕ್ಕೆ ಧನ್ಯವಾದಗಳು.,Not_offensive,{'kn': 'ಸಾಹಿತ್ಯನ ಬರೆದಿದ್ದಕ್ಕೆ ಧನ್ಯವಾದಗಳು.'}
6024,suvarna chanle nemge studio elva yvdo gujari jagadali madidira ade star actors agidre hege madtidra,Offensive_Targeted_Insult_Group,{'kn': 'ಸುವರ್ಣ ಚೇಂಲ್ ನೆಂಗೆ ಸ್ಟುಡಿಯೊ ಇಲ್ವ ಯುದೋ ಗುಜರಿ ಜಗದಲಿ ಮಾಡಿದಿರ ಅದೆ ಸ್ಟಾರ್ ಆಕ್ಟರ್ಸ್ ಆಗಿದ್ರೆ ಹೇಗೆ ಮದ್ತಿದ್ರ'}
6025,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ..nನಾರಾಯಣ ನ ಅವತಾರ,Not_offensive,{'kn': 'ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ..ನ್ನಾರಾಯಣ ನ ಅವತಾರ'}
6026,2020  new year special viewers like here,Offensive_Untargetede,{'kn': '2020 ನ್ಯೂ ಯೇರ್ ಸ್ಪೆಷಲ್ ವೀವರ್ಸ್ ಲೈಕ್ ಹೀರೆ'}
6027,ravi kamakshi super,Not_offensive,{'kn': 'ರವಿ ಕಾಮಾಕ್ಷಿ ಸೂಪರ್'}
6028,Edu yav game sir..,Not_offensive,{'kn': 'ಎದು ಯಾ ಗೇಮ್ ಸಾರ್..'}
6029,Luv u rakshith Shetty sir,not-Kannada,{'kn': 'ಲವ್ ಊ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಸಾರ್'}
6030,Kannadagru like here .Nama Kannada movie he estu craze edaa,Not_offensive,{'kn': 'ಕನ್ನಡಗರು ಲೈಕ್ ಹೀರೆ .ನಾಮ ಕನ್ನಡ ಮೂವಿ ಹೇ ಎಷ್ಟು ಕ್ರೇಜ್ ಎಡಾ'}
6031,@Nandi Parthasarathi ninamman shata kilaka helde baa antha gandu,Offensive_Targeted_Insult_Individual,{'kn': '@ನಂದಿ ಪರ್ಥಸರಾತಿ ನಿನಮ್ಮನ್ ಶತ ಕೀಲಕ ಹೇಲ್ದೆ ಬಾ ಅಂಥ ಗಂಡು'}
6032,Yes true lines,not-Kannada,{'kn': 'ಯಸ್ ಟ್ರೂ ಲೈನ್ಸ್'}
6033,#1.46 Bgm music super,Not_offensive,{'kn': '#1.46 ಬೆಜ್ ಮ್ಯೂಸಿಕ್ ಸೂಪರ್'}
6034,Supper bro chenngi ugdidira.🤝🤝🤝,Not_offensive,{'kn': 'ಸುಪ್ಪರ್ ಬ್ರೋ ಚೆನ್ನಿ ಉಗ್ದಿಡಿರ.🤝🤝🤝'}
6035,ಸೂಪರ್ ಸಾಂಗ್ ಡಿ ಬಾಸ್ ಫ್ಯಾನ್ಸ್ ಸಪೋರ್ಟ್ ಮಾಡುತ್ತೇವೆ ಕನ್ನಡ ಸಿನಿಮಾ ರಂಗ ಬೆಳೆಯಲಿ,Not_offensive,{'kn': 'ಸೂಪರ್ ಸಾಂಗ್ ಡಿ ಬಾಸ್ ಫ್ಯಾನ್ಸ್ ಸಪೋರ್ಟ್ ಮಾಡುತ್ತೇವೆ ಕನ್ನಡ ಸಿನಿಮಾ ರಂಗ ಬೆಳೆಯಲಿ'}
6036,Sir nimmannu prathyakshavagi nodalu aaseyagutide sir nimma hattira ondu dina full kaala kaleyalu aase idhe aadre yenu maadudhu sir nimmannu bittu barudhu yochane maaduvaaga manassige bahala bahala kashsta aagutte sir  devaru nimma aasegalanella eederisaly,Not_offensive,{'kn': 'ಸಾರ್ ನಿಮ್ಮನ್ನು ಪ್ರತ್ಯಕ್ಷವಾಗಿ ನೋಡಲು ಆಸೆಯಾಗುತ್ತಿದೆ ಸಾರ್ ನಿಮ್ಮ ಹತ್ತಿರ ಒಂದು ದಿನ ಫುಲ್ ಕಾಲ ಕಳೆಯಲು ಆಸೆ ಇಧೇ ಆದರೆ ಏನು ಮಾಡುದು ಸಾರ್ ನಿಮ್ಮನ್ನು ಬಿತ್ತು ಬರುದು ಯೋಚನೆ ಮಾಡುವಾಗ ಮನಸ್ಸಿಗೆ ಬಹಳ ಬಹಳ ಕಷ ಆಗುತ್ತೆ ಸಾರ್ ದೇವರು ನಿಮ್ಮ ಆಸೆಗಳನೆಲ್ಲ ಈಡಿರಿಸಲ್'}
6037,Adu support irodarinda,Not_offensive,{'kn': 'ಅದು ಸುಪ್ಪೋರ್ಟ್ ಇರೋದರಿಂದ'}
6038,ನಂಬರ್ ಒನ್ ಟ್ರೆಂಡಿಂಗ್ ಸಾಂಗ್....,Not_offensive,{'kn': 'ನಂಬರ್ ಒನ್ ಟ್ರೆಂಡಿಂಗ್ ಸಾಂಗ್....'}
6039,Yavalo bindu Gowda avulu Thu.......... Nan Ke................,Offensive_Targeted_Insult_Individual,{'kn': 'ಯವಲೋ ಬಿಂದು ಗೌಡ ಅವುಳು ಥೂ.......... ನಾನ್ ಕೇ................'}
6040,Yen film  guru super,Not_offensive,{'kn': 'ಏನ್ ಫಿಲ್ಮ್ ಗುರು ಸೂಪರ್'}
6041,Super  song,Not_offensive,{'kn': 'ಸೂಪರ್ ಸಾಂಗ್'}
6042,Bro nivu  supara,Not_offensive,{'kn': 'ಬ್ರೋ ನೀವು ಸೂಪರ'}
6043,100% nija sir. Appaji tarah yaaru barolla.. ulidre kelavu snetaru bartaare.. Devru saha barolla..,Not_offensive,{'kn': '100% ನಿಜ ಸಾರ್. ಅಪ್ಪಾಜಿ ತರಹ ಯಾರು ಬರೊಲ್ಲಾ.. ಉಳಿದ್ರೆ ಕೆಲವು ಸ್ನೇತರು ಬರ್ತಾರೆ.. ದೇವರು ಸಹಾ ಬರೊಲ್ಲಾ..'}
6044,@Manoj Kolya Neenobne heege heltirodna naan Keliddu.. Watch his Trailer and Teasers first,Not_offensive,{'kn': '@ಮನೋಜ್ ಕೊಲ್ಯ ನೀನೋಬನೆ ಹೀಗೆ ಹೆಲ್ತಿರೋದ್ನ ನಾನ್ ಕೇಳಿದ್ದು.. ವಾಚ್ ಹಿಸ್ ಟ್ರೈಲರ್ ಆಂಡ್ ಟೀಸರ್ಸ್ ಫಸ್ಟ್'}
6045,ಕೇಳಿ ಕಾದಿರುವ ಭಾ೦ದವರೇnಭುವಿಯಲ್ಲಿ ಅವನ ಅರಿತವರೆnಯಾರಿಲ್ಲ ಬಿಡಿ ಮುನ್ನುಡಿnಇದ್ದರದೊಂದು ದಂತ ಕಥೆ..nನಾಕು ದಿಕ್ಕಿನಲು ಬೇಕವನುnಬಂದೂಕು ಹಿಡಿದ ಮಾನವನುnತಲೆ ಮೇಲಿದೆ ಕಿರೀಟ..nತೀರ ಹಠ..nಗುರಿ ಬೆನ್ನಟ್ಟೋ ನೇತಾರನು!nnಗಾಳಿ ಮಾತಿನ ಬಜಾರುnಸುದ್ದಿ ಸಾರಿದೆ ಸುಮಾರುnಪಾತ್ರದ ಪರಿಚಯ ಇರೋರುnಆ ಬಂದೂಕಿಗೆ ಇದೆ ಘನ ಹೆಸರುnnಹ್ಯಾಂಡ್ಸ್ ಅಪ್..nಅದು ಅನವರತ!nಹ್ಯಾಂಡ್ಸ್ ಅಪ್..nನಾ ಅಜ್ಞಾತ!nಹ್ಯಾಂಡ್ಸ್ ಅಪ್..nಇದೆ ವೇದಾಂತ..!nnಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ..nnರಂಗೇರಿದೆ ಮಾಯಾ ಜಾಲnಅನುಭವಿಸು ಓ ಪ್ರೇಕ್ಷಕನೇ!nದೃಷ್ಟಿ ನನ್ನೊಬ್ಬನ ಮೇಲಿಡಿnತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ!nನನ್ನ ಗೆಲ್ಬೋದು ಅನ್ನುತnನಿಂದನು ಓರ್ವ ರಾಕ್ಷಸ!nತಪ್ಪಲ್ಲ ಆದರು ಅದುವೇnಊಹೆಗೂ ಮೀರಿದ ಸಾಹಸ!nಅನಿಸುತ್ತೆ..nಬಂದ ಹಾಗಿದೆ ರಚಿಸಲು ಹೊಸದೇ ಶಾಸನ!nಮೆರಯಲಿ ಗಗನದಲಿ ನಿಮ್ಮದೇ ಲಾಂಛನ..nಯುಧ್ಧ ಮಾಡಬೇಕು,Not_offensive,{'kn': 'ಕೇಳಿ ಕಾದಿರುವ ಭಾ೦ದವರೇನ್ಭುವಿಯಲ್ಲಿ ಅವನ ಅರಿತವರೆನ್ಯಾರಿಲ್ಲ ಬಿಡಿ ಮುನ್ನುಡಿನ್ಇದ್ದರದೊಂದು ದಂತ ಕಥೆ..ನ್ನಾಕು ದಿಕ್ಕಿನಲು ಬೇಕವನುನ್ಬಂದೂಕು ಹಿಡಿದ ಮಾನವನುನ್ತಲೆ ಮೇಲಿದೆ ಕಿರೀಟ..ನ್ತೀರ ಹಠ..ನ್ಗುರಿ ಬೆನ್ನಟ್ಟೋ ನೇತಾರನು!ನೀನ್ಗಾಳಿ ಮಾತಿನ ಬಜಾರುನ್ಸುದ್ದಿ ಸಾರಿದೆ ಸುಮಾರುನ್ಪಾತ್ರದ ಪರಿಚಯ ಇರೋರುನ್ಆ ಬಂದೂಕಿಗೆ ಇದೆ ಘನ ಹೆಸರುನೀನ್ಹ್ಯಾಂಡ್ಸ್ ಅಪ್..ನ್ಅದು ಅನವರತ!ನ್ಹ್ಯಾಂಡ್ಸ್ ಅಪ್..ನ್ನಾ ಅಜ್ಞಾತ!ನ್ಹ್ಯಾಂಡ್ಸ್ ಅಪ್..ನ್ಇದೆ ವೇದಾಂತ..!ನೀನ್ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ..ನೀನ್ರಂಗೇರಿದೆ ಮಾಯಾ ಜಾಲನ್ಅನುಭವಿಸು ಓ ಪ್ರೇಕ್ಷಕನೇ!ನ್ದೃಷ್ಟಿ ನನ್ನೊಬ್ಬನ ಮೇಲಿಡಿನ್ತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ!ನ್ನನ್ನ ಗೆಲ್ಬೋದು ಅನ್ನುತನ್ನಿಂದನು ಓರ್ವ ರಾಕ್ಷಸ!ನ್ತಪ್ಪಲ್ಲ ಆದರು ಅದುವೇನ್ಊಹೆಗೂ ಮೀರಿದ ಸಾಹಸ!ನ್ಅನಿಸುತ್ತೆ..ನ್ಬಂದ ಹಾಗಿದೆ ರಚಿಸಲು ಹೊಸದೇ ಶಾಸನ!ನ್ಮೆರಯಲಿ ಗಗನದಲಿ ನಿಮ್ಮದೇ ಲಾಂಛನ..ನ್ಯುಧ್ಧ ಮಾಡಬೇಕು'}
6046,Superb Dancing step's,Not_offensive,"{'kn': ""ಸುಪರ್ಬ್ ಡಾನ್ಸಿಂಗ್ ಸ್ಟೇಪ್'ಎಸ್""}"
6047,@Entertainment Gaming ನಂಗೆ ಎಲ್ಲೋ ಕಾಣಿಸ್ತಾ ಇಲ್ವೇ ಇಲ್ಲ,Offensive_Targeted_Insult_Individual,{'kn': '@ಇಂಟರ್ಟೆನ್ಮೆಂಟ್ ಗೇಮಿಂಗ್ ನಂಗೆ ಎಲ್ಲೋ ಕಾಣಿಸ್ತಾ ಇಲ್ವೇ ಇಲ್ಲ'}
6048,100 days pakka super,not-Kannada,{'kn': '100 ಡೇಸ್ ಪಕ್ಕ ಸೂಪರ್'}
6049,Super vp bgm,not-Kannada,{'kn': 'ಸೂಪರ್ ವಿಪಿಪಿ ಬೆಜ್'}
6050,ಸರ್ ಈ ತರಹ  ಸ್ಪೀಚ್ ಬೇಕು  ಪ್ರತಿ ನಿತ್ಯ  ಇಂತಹ  ವೀಡಿಯೋಸ್ ಬೇಕು  ಸರ್  ತುಂಬಾ ಧನ್ಯವಾದಗಳು,Not_offensive,{'kn': 'ಸರ್ ಈ ತರಹ ಸ್ಪೀಚ್ ಬೇಕು ಪ್ರತಿ ನಿತ್ಯ ಇಂತಹ ವೀಡಿಯೋಸ್ ಬೇಕು ಸರ್ ತುಂಬಾ ಧನ್ಯವಾದಗಳು'}
6051,Idu charitre srutsiro song,Not_offensive,{'kn': 'ಇದು ಚರಿತ್ರೆ ಶ್ರೂಟ್ಸಿರೋ ಸಾಂಗ್'}
6052,ಅಣ್ಣಾ ಚೆನ್ನಾಗಿ ಉಗಿತಿರಾ,Offensive_Targeted_Insult_Individual,{'kn': 'ಅಣ್ಣಾ ಚೆನ್ನಾಗಿ ಉಗಿತಿರಾ'}
6053,@VARAPRASAD K K nin Amman thulle shaata bekaadre helu nin chulbort movie hair wig ge . Dagaar boss cutout bekaadre helu dappa  sodane hodkodtivi ondu maatu helu saaku haage shaatad haara redi maadustivi ashtu salalilla Andre helu mettin haara maadustivi dagaar fans nin Amman ganda dagaar soole maga Hale aanti iddange idaanallo avnige kodu bale,Offensive_Targeted_Insult_Individual,{'kn': '@ವರಪ್ರಸಾದ್ ಕಿ ಕಿ ನೀನ್ ಅಮ್ಮನ್ ತುಲ್ಲೆ ಶಾಟ ಬೇಕಾದ್ರೆ ಹೇಳು ನೀನ್ ಚಟ್ಬರ್ಟ್ ಮೂವಿ ಹೈರ್ ವಿಗ್ ಗೆ . ಡಗರ್ ಬಾಸ್ ಕಟೋಟ್ ಬೇಕಾದ್ರೆ ಹೇಳು ದಪ್ಪ ಸೋಡನೆ ಹೊಂಬೊಟ್ಟಿವಿ ಒಂದು ಮಾತು ಹೇಳು ಸಾಕು ಹಾಗೆ ಶಾಟ್ ಹಾರ ರೆಡಿ ಮಾಡುತ್ತಿವಿ ಅಷ್ಟು ಸಾಲಲಿಲ್ಲ ಆಂಡ್ರೆ ಹೇಳು ಮೆಟ್ಟಿನ್ ಹಾರ ಮಾಡುತ್ತಿವಿ ಡಗರ್ ಫ್ಯಾನ್ಸ್ ನೀನ್ ಅಮ್ಮನ್ ಗಂಡ ಡಗರ್ ಸೋಲೆ ಮಗ ಹಳೆ ಆಂಟಿ ಇದ್ದಂಗೆ ಇದಾನಲ್ಲೂ ಅವನಿಗೆ ಕೊಡು ಬಾಲೆ'}
